site,file_name,buf_crop_1992,buf_crop_2005,buf_past_1993,buf_past_2009,buf_HFP_1993,buf_HFP_2009,temp
R00001,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,9.262629986,20.76262999,13.75
R00002,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,20.51203156,29.26203156,14.25
R00004,df.template_anbiotek_VG_BasqueCountry.xlsx,3.5,1.75,0,0,10.85216117,11.85216093,13.55
R00033,df.template_anbiotek_VG_BasqueCountry.xlsx,7,5.25,0,0,27.25,28.25,11.65
R00034,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,28.59713364,28.59713364,14.25
R00035,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,42.02203465,42.02203465,14.45
R00037,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,8.984039879,11.38403988,13.95
R00038,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,31.42724323,32.42724323,14.45
R00040,df.template_anbiotek_VG_BasqueCountry.xlsx,1.75,3.5,0.75,0.5,18.75,21.5,11.55
R00041,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,40.24401474,40.24401474,12.45
R00042,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,4.102001786,5.602001786,10.85
R00043,df.template_anbiotek_VG_BasqueCountry.xlsx,7,3.5,0,0,29.01865864,32.51865816,12.25
R00045,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,26.1746254,20.1746254,14.45
R00046,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,24.81679773,30.56679821,14.05
R00048,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,12.76568437,24.5156846,14.35
R00049,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,14.76910782,24.43577449,14.25
R00051,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,22.03064791,26.36398125,14.65
R00052,df.template_anbiotek_VG_BasqueCountry.xlsx,1.75,0,0,0,20.11187768,17.36187744,14.05
R00053,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,43.24532795,43.24532795,14.55
R00054,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,16.82885647,25.32885647,14.35
R00055,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0.8,0.8,21.2,23.4,11.55
R00056,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,38.5,39.5,13.25
R00058,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,35.81177444,35.81177444,14.25
R00059,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,35,35.33333333,13.05
R00060,df.template_anbiotek_VG_BasqueCountry.xlsx,0,1.75,0,0,22.18148637,26.68148661,12.85
R00061,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0.5,0.5,21.75,22.75,12.35
R00062,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,38.50001907,38.50001907,13.65
R00063,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,31.54028511,36.54028511,14.35
R00064,df.template_anbiotek_VG_BasqueCountry.xlsx,0,0,0,0,44.00002956,44.25002956,13.55
