site,year,month,site_date,sampling_method,sample,sampling_area,organism_group,taxon,body_mass,body_length,body_weight_units,body_length_units,count,multiplier,organism_groups,geographical_latitude,geographical_longitude,dat_id,group_id,corrected_mass_units,ind_n
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Alburnus alburnus,5325,125,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Micropterus salmoides,525,63,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Parachondrostoma miegii,200,42,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Luciobarbus graellsii,325,58,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Alburnus alburnus,4175,124,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Luciobarbus graellsii,68975,262,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Alburnus alburnus,2500,106,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Gobio lozanoi,5625,123,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Luciobarbus graellsii,91250,326,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
Sigues,2007,7,Sigues_2007_7,Electrofishing,1,769,Fish,Alburnus alburnus,3750,112,g WW,mm,1,1.300390117035111,Fish,42.61724915,-1.020846022,df_Arranz_01.xlsx,3572,mg_dw,1.300390117035111
